"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","ShisetsuSetsubi_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT","Byoshosu"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","3506920","","A","014","2","20130215","20130218","0"
"04/04/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/03/2013 19:03:10","BATCH","04/04/2013 00:00:00","PVS_XP_2054","133","00","8104732","","B","014","2","20130402","20130403","0"
"02/18/2013 00:00:00","02/26/2023 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","02/27/2023 00:00:00","PVS_XP_2054","133","00","2200445","","A","005","2","20130215","20130218","4"
"04/04/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/03/2013 19:03:10","BATCH","04/04/2013 00:00:00","PVS_XP_2054","133","00","8109100","","B","010","2","20130402","20130403","0"
"04/04/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/03/2013 19:03:10","BATCH","04/04/2013 00:00:00","PVS_XP_2054","133","00","8110331","","B","010","2","20130402","20130403","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3201484","","A","008","2","20130215","20130218","1"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504284","","A","008","2","20130215","20130218","0"
"04/05/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/04/2013 18:55:15","BATCH","04/05/2013 00:00:00","PVS_XP_2054","133","00","3501562","","B","010","2","20130403","20130404","0"
"04/05/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/04/2013 18:55:15","BATCH","04/05/2013 00:00:00","PVS_XP_2054","133","00","3501806","","B","007","1","20130403","20130404","0"
"04/05/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/04/2013 18:55:15","BATCH","04/05/2013 00:00:00","PVS_XP_2054","133","00","3502985","","B","006","2","20130403","20130404","0"
"02/18/2013 00:00:00","04/04/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/05/2013 00:00:00","PVS_XP_2054","133","00","3501806","","A","007","2","20130215","20130218","0"
"04/08/2013 00:00:00","03/31/2015 00:00:00","False","Batch","04/06/2013 04:36:32","BATCH","04/01/2015 00:00:00","PVS_XP_2054","133","00","3502174","","B","010","1","20130404","20130405","0"
"02/18/2013 00:00:00","04/07/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/08/2013 00:00:00","PVS_XP_2054","133","00","3502174","","A","010","2","20130215","20130218","0"
"04/09/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/08/2013 18:19:08","BATCH","04/09/2013 00:00:00","PVS_XP_2054","133","00","3500410","","B","007","1","20130405","20130408","0"
"04/09/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/08/2013 18:19:08","BATCH","04/09/2013 00:00:00","PVS_XP_2054","133","00","3500426","","B","008","2","20130405","20130408","0"
"04/09/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/08/2013 18:19:08","BATCH","04/09/2013 00:00:00","PVS_XP_2054","133","00","3500439","","B","007","1","20130405","20130408","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504284","","A","010","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/08/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/09/2013 00:00:00","PVS_XP_2054","133","00","3500410","","A","007","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/08/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/09/2013 00:00:00","PVS_XP_2054","133","00","3500439","","A","007","2","20130215","20130218","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504452","","A","008","2","20130215","20130218","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504697","","A","013","2","20130215","20130218","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504697","","A","014","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/09/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3504046","","A","007","2","20130215","20130218","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3500536","","B","009","2","20130408","20130409","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","3507155","","A","009","2","20130215","20130218","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3501001","","B","007","1","20130408","20130409","0"
"02/18/2013 00:00:00","02/26/2023 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","02/27/2023 00:00:00","PVS_XP_2054","133","00","3100621","","A","013","2","20130215","20130218","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3501118","","B","014","2","20130408","20130409","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3502848","","B","010","2","20130408","20130409","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3503753","","B","013","1","20130408","20130409","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3504046","","B","007","1","20130408","20130409","0"
"02/18/2013 00:00:00","01/27/2019 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/28/2019 00:00:00","PVS_XP_2054","133","00","3504878","","A","008","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/09/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3501001","","A","004","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/09/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3501001","","A","007","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/09/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3503753","","A","013","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5501361","","A","011","2","20130215","20130218","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3507155","","B","002","2","20130408","20130409","0"
"04/10/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/09/2013 18:54:55","BATCH","04/10/2013 00:00:00","PVS_XP_2054","133","00","3507155","","B","012","2","20130408","20130409","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5501579","","A","001","2","20130215","20130218","0"
"04/11/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/10/2013 18:19:03","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","3503432","","B","009","2","20130409","20130410","0"
"04/11/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/10/2013 18:19:03","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","3503432","","B","012","2","20130409","20130410","0"
"04/11/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/10/2013 18:19:03","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","3503432","","B","015","2","20130409","20130410","0"
"02/18/2013 00:00:00","02/26/2023 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","02/27/2023 00:00:00","PVS_XP_2054","133","00","3103351","","A","001","2","20130215","20130218","0"
"04/11/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/10/2013 18:19:03","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","7200423","","B","007","1","20130409","20130410","0"
"02/18/2013 00:00:00","01/28/2018 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/29/2018 00:00:00","PVS_XP_2054","133","00","3200967","","A","010","2","20130215","20130218","2"
"02/18/2013 00:00:00","04/10/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","3501336","","A","013","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/10/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","7200423","","A","007","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/10/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/11/2013 00:00:00","PVS_XP_2054","133","00","7200738","","A","008","2","20130215","20130218","0"
"04/12/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/11/2013 18:29:23","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200213","","B","007","1","20130410","20130411","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5500145","","A","011","2","20130215","20130218","0"
"04/12/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/11/2013 18:29:23","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200510","","B","010","2","20130410","20130411","0"
"02/18/2013 00:00:00","04/11/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200213","","A","007","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/11/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200510","","A","014","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/11/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200810","","A","007","2","20130215","20130218","0"
"04/12/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/11/2013 18:29:23","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200510","","B","014","1","20130410","20130411","0"
"04/12/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/11/2013 18:29:23","BATCH","04/12/2013 00:00:00","PVS_XP_2054","133","00","7200810","","B","007","1","20130410","20130411","0"
"02/18/2013 00:00:00","04/14/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101347","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/14/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101621","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/14/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5103152","","A","001","2","20130215","20130218","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100281","","B","014","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100330","","B","014","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100430","","B","003","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100430","","B","008","2","20130411","20130412","0"
"02/18/2013 00:00:00","01/28/2018 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/29/2018 00:00:00","PVS_XP_2054","133","00","3703572","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","3504046","","A","002","2","20130215","20130218","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100642","","B","003","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5100869","","B","010","2","20130411","20130412","0"
"02/18/2013 00:00:00","01/28/2018 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","01/29/2018 00:00:00","PVS_XP_2054","133","00","3704071","","A","008","2","20130215","20130218","0"
"02/18/2013 00:00:00","03/26/2017 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","03/27/2017 00:00:00","PVS_XP_2054","133","00","2300925","","A","008","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","3504046","","A","003","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5501786","","A","010","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5502111","","A","014","2","20130215","20130218","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5502596","","A","010","2","20130215","20130218","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101326","","B","008","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101326","","B","009","2","20130411","20130412","0"
