"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairi_CD","Dairiten_NG","Blockdairi_CD","IchijiDairi_CD","SalsTokei_KBN","SitnDirtn_FLG","DaiSeisak_KBN","PrintI_CTL","PrintYK_CTL","Keikakutani_FLG","DairitenKenkei_KBN","RyutuBuin_CD","Kurini_FLG"
"01888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","北海道の代理店","","","","","3","","","","","","0"
"01889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","北海道の代理店","","","","","3","","","","","","0"
"02001","05/01/2013 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","04040","（株）アスカム青森支店","02001","","3","3","3","107","002","1","","","1"
"02003","05/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","02003","（株）ショウエ－","02003","","1","3","3","401","043","1","","","1"
"02004","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:18:25","PVU_EX_1400","itg04213","09/13/2018 16:18:25","PVU_EX_1400","","（株）小田島青森","","","1","3","3","201","003","5","","","1"
"02017","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04213","04/16/2025 11:44:46","PVU_EX_1400","itg04213","04/16/2025 11:44:46","PVU_EX_1400","23048","（株）スズケン青森営業部","04504","","1","3","3","251","500","5","","ecl08449","1"
"02018","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 13:59:00","PVU_EX_1400","itg04283","04/16/2025 13:59:00","PVU_EX_1400","04041","（株）バイタルネット青森","","","3","3","3","111","001","5","","ecl08449","1"
"02026","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 13:59:39","PVU_EX_1400","itg04283","04/16/2025 13:59:39","PVU_EX_1400","07004","東北アルフレッサ（株）青森","07004","","1","3","3","301","600","5","","ecl08449","1"
"02027","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:00:10","PVU_EX_1400","itg04283","04/16/2025 14:00:10","PVU_EX_1400","13015","東邦薬品（株）青森営業部","","","1","3","3","151","002","1","","ecl08449","1"
"02888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","青森の代理店","","","","","3","","","","","","0"
"02889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","青森の代理店","","","","","3","","","","","","0"
"03002","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:18:48","PVU_EX_1400","itg04213","09/13/2018 16:18:48","PVU_EX_1400","","（株）小田島","","","1","3","3","202","003","5","","","1"
"03005","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:00:54","PVU_EX_1400","itg04283","04/16/2025 14:00:54","PVU_EX_1400","03005","（株）スズケン岩手","03005","","1","3","3","256","031","5","","ecl08449","1"
"03010","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/14/2018 09:38:56","PVU_EX_1400","itg04213","09/14/2018 09:38:56","PVU_EX_1400","03010","（株）佐藤薬局","","03027","","","3","601","036","","","","0"
"03019","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:01:31","PVU_EX_1400","itg04283","04/16/2025 14:01:31","PVU_EX_1400","04041","（株）バイタルネット岩手","","","1","3","3","112","001","5","","ecl08449","1"
"03025","05/01/2013 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","04040","（株）アスカム岩手支店","03025","","1","3","3","108","002","1","","","1"
"03027","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:02:02","PVU_EX_1400","itg04283","04/16/2025 14:02:02","PVU_EX_1400","07004","東北アルフレッサ（株）岩手","07004","","1","3","3","302","040","5","","ecl08449","1"
"03028","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:03:18","PVU_EX_1400","itg04283","04/16/2025 14:03:18","PVU_EX_1400","13015","東邦薬品（株）岩手営業部","","","1","3","3","153","002","1","","ecl08449","1"
"03031","04/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","03/31/2018 16:18:21","PVU_EX_1400","itg04213","03/31/2018 16:18:21","PVU_EX_1400","","株式会社小田島アクティ","","","1","1","1","","","","","","0"
"03888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","岩手の代理店","","","","","3","","","","","","0"
"03889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","岩手の代理店","","","","","3","","","","","","0"
"04001","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:51:36","PVU_EX_1400","itg43581","04/15/2024 11:51:36","PVU_EX_1400","04041","（株）バイタルネット宮城","","","3","3","3","113","001","5","","ecl07689","1"
"04002","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:19:19","PVU_EX_1400","itg04213","09/13/2018 16:19:19","PVU_EX_1400","","（株）小田島宮城","","","1","3","3","203","003","5","","","1"
"04003","05/21/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","05/21/2018 14:20:04","PVU_EX_1400","itg04213","05/21/2018 14:20:04","PVU_EX_1400","","バイタルＪＤ","","","","","1","","","","","","0"
"04004","05/01/2013 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","04040","（株）アスカム宮城支店","04004","","3","3","3","109","002","1","","","1"
"04005","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 10:03:59","PVU_EX_1400","itg40916","02/08/2019 10:03:59","PVU_EX_1400","","イワキ（株）仙台支店","04005","","1","3","3","005","005","","","","0"
"04006","01/15/2021 00:00:00","12/31/9999 00:00:00","0","itg36186","01/15/2021 13:54:29","PVU_EX_1400","itg36186","01/15/2021 13:54:29","PVU_EX_1400","13803","（株）井田両国堂　仙台店","04006","","","","3","","","","","","0"
"04014","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:52:32","PVU_EX_1400","itg43581","04/15/2024 11:52:32","PVU_EX_1400","15022","（株）マルタケ仙台","","","1","3","3","501","011","","","ecl07689","0"
"04019","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","","純正化学メディカル事業所","","13049","","3","3","","","","","","0"
"04020","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","04005","小泉薬品（株）","","04005","","","3","013","013","","","","0"
"04030","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:09:52","PVU_EX_1400","itg04213","10/09/2020 13:09:52","PVU_EX_1400","27803","（株）Ｐａｌｔａｃ東北支社","04030","","2","2","2","999","","","","","0"
"04040","05/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl04187","03/29/2018 18:50:00","803001","ecl04187","03/29/2018 18:50:00","803001","04040","（株）アスカム","","","3","3","3","002","002","","","","1"
"04041","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:10:58","PVU_EX_1400","itg04213","10/09/2020 13:10:58","PVU_EX_1400","04041","（株）バイタルネット","","","3","","3","001","001","","","","1"
"04042","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/12/2025 11:50:06","PVU_EX_1400","itg46273","09/12/2025 11:50:06","PVU_EX_1400","04041","（株）バイタルネット本社","04001","","3","","3","551","001","","","ecl07689","1"
"04044","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","03/12/2019 15:20:15","PVU_EX_1400","itg04213","03/12/2019 15:20:15","PVU_EX_1400","13181","（株）リードヘルスケア東北","04044","","3","","3","139","001","","","","1"
"04045","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg35320","04/15/2020 09:26:10","PVU_EX_1400","itg35320","04/15/2020 09:26:10","PVU_EX_1400","27803","（株）Ｐａｌｔａｃ東北","04045","","2","","3","","","","","","0"
"04046","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:06:17","PVU_EX_1400","itg04283","04/16/2025 14:06:17","PVU_EX_1400","07004","東北アルフレッサ（株）宮城","07004","","1","3","3","303","020","5","","ecl10504","1"
"04048","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/16/2025 13:49:22","PVU_EX_1400","itg46273","09/16/2025 13:49:22","PVU_EX_1400","13159","メディセオ南東北統括営業部","01051","","1","1","3","351","","1","","","1"
"04050","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/25/2018 11:07:02","PVU_EX_1400","itg04213","05/25/2018 11:15:44","PVU_EX_1400","40035","株）リードヘルスケア東日本","04044","","3","","3","139","001","","","","1"
"04051","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:56:34","PVU_EX_1400","itg43581","04/15/2024 11:56:34","PVU_EX_1400","13015","東邦薬品（株）宮城営業部","","","1","3","3","154","002","1","","ecl07689","1"
"04504","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:57:13","PVU_EX_1400","itg43581","04/15/2024 11:57:13","PVU_EX_1400","23048","（株）スズケン仙台営業部","04504","","1","3","3","252","015","5","","ecl07689","1"
"04888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","宮城の代理店","","","","","3","","","","","","0"
"04889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","宮城の代理店","","","","","3","","","","","","0"
"04890","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:14:15","PVU_EX_1400","itg04213","10/09/2020 13:14:15","PVU_EX_1400","13012","アルフレッサＨＣ北海道東北","13012","","2","2","2","237","","","","","0"
"05003","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:19:50","PVU_EX_1400","itg04213","09/13/2018 16:19:50","PVU_EX_1400","","（株）小田島秋田","","","1","3","3","204","003","5","","","1"
"05007","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:06:51","PVU_EX_1400","itg04283","04/16/2025 14:06:51","PVU_EX_1400","04041","（株）バイタルネット秋田","","","3","3","3","114","001","5","","ecl08449","1"
"05013","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:07:20","PVU_EX_1400","itg04283","04/16/2025 14:07:20","PVU_EX_1400","23048","（株）スズケン秋田営業部","04504","","1","3","3","253","015","5","","ecl08449","1"
"05016","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:08:00","PVU_EX_1400","itg04283","04/16/2025 14:08:00","PVU_EX_1400","07004","東北アルフレッサ（株）秋田","07004","","1","3","3","304","050","5","","ecl08449","1"
"05017","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/16/2025 13:53:11","PVU_EX_1400","itg46273","09/16/2025 13:53:11","PVU_EX_1400","13159","メディセオ北東北統括営業部","01051","","1","1","3","352","039","1","","","1"
"05018","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:08:39","PVU_EX_1400","itg04283","04/16/2025 14:08:39","PVU_EX_1400","13015","東邦薬品（株）秋田営業部","","","1","3","3","152","010","1","","ecl08449","1"
"05888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","秋田の代理店","","","","","3","","","","","","0"
