"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","KangoShubetsu_KBN","KangoShubetsu_CD","Meisho","Ryakusho"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C004","一般病棟１３対１入院基本料　５０：１看護補助","一１３入補５０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C005","一般病棟１３対１入院基本料　７５：１看護補助","一１３入補７５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C006","一般病棟１５対１入院基本料　加算","一１５入加"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C007","一般病棟１５対１入院基本料","一１５入"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C008","一般病棟１５対１入院基本料　３０：１看護補助　加算","一１５入補３０加"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C009","一般病棟１５対１入院基本料　３０：１看護補助","一１５入補３０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C010","一般病棟１５対１入院基本料　５０：１看護補助　加算","一１５入補５０加"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C011","一般病棟１５対１入院基本料　５０：１看護補助","一１５入補５０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C012","一般病棟１５対１入院基本料　７５：１看護補助　加算","一１５入補７５加"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C013","一般病棟１５対１入院基本料　７５：１看護補助","一１５入補７５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C014","一般病棟準７対１入院基本料","一準７入"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C015","一般病棟１０対１入院基本料　５０：１看護補助","一１０入補５０"
