"corporation_cd","product_cd","start_date","end_date","locale_id","pre_product_cd","std_manufacuturing_cost","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","200079","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","251.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200086","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","1213.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200086","11/01/2017 00:00:00","03/31/2020 00:00:00","ja","","1213.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/22/2020 20:12:07"
"1000","200086","04/01/2020 00:00:00","03/31/2024 00:00:00","ja","","1266.000",,"0","im_job","01/22/2020 20:12:07","im_job","01/26/2024 19:34:13"
"1000","200086","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","1299.000",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:07"
"1000","200086","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","1298.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200086","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","1299.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200093","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","2011.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200093","11/01/2017 00:00:00","03/31/2020 00:00:00","ja","","2011.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/22/2020 20:12:07"
"1000","200093","04/01/2020 00:00:00","03/31/2024 00:00:00","ja","","2099.000",,"0","im_job","01/22/2020 20:12:07","im_job","01/26/2024 19:34:13"
"1000","200093","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","2132.000",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200093","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","2131.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200093","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","2132.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200109","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","3672.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200109","11/01/2017 00:00:00","03/31/2018 00:00:00","ja","","3672.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/23/2018 20:15:27"
"1000","200109","04/01/2018 00:00:00","03/31/2020 00:00:00","ja","","3959.000",,"0","im_job","01/23/2018 20:15:27","im_job","01/22/2020 20:10:02"
"1000","200109","04/01/2020 00:00:00","03/31/2022 00:00:00","ja","","3881.000",,"0","im_job","01/22/2020 20:10:02","im_job","02/10/2022 20:15:20"
"1000","200109","04/01/2022 00:00:00","03/31/2023 00:00:00","ja","","2953.000",,"0","im_job","02/10/2022 20:15:20","im_job","03/17/2023 20:20:10"
"1000","200109","04/01/2023 00:00:00","03/31/2024 00:00:00","ja","","2352.000",,"0","im_job","03/17/2023 20:20:10","im_job","01/26/2024 19:34:13"
"1000","200109","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","2187.000",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200109","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","1924.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200109","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","1644.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200116","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","180179","92247.850","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200116","11/01/2017 00:00:00","03/31/2018 00:00:00","ja","180179","92247.850","","0","iko90001","11/08/2017 00:00:00","im_job","03/19/2018 20:10:03"
"1000","200116","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","180179","89935.060",,"0","im_job","03/19/2018 20:10:03","im_job","01/23/2019 21:29:29"
"1000","200116","04/01/2019 00:00:00","03/31/2020 00:00:00","ja","180179","89935.060",,"0","im_job","01/23/2019 21:29:29","im_job","01/22/2020 20:10:02"
"1000","200116","04/01/2020 00:00:00","03/31/2021 00:00:00","ja","180179","89145.540",,"0","im_job","01/22/2020 20:10:02","im_job","01/21/2021 20:37:17"
"1000","200116","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","180179","88760.000",,"0","im_job","01/21/2021 20:37:17","im_job","01/24/2022 20:13:20"
"1000","200116","04/01/2022 00:00:00","03/31/2023 00:00:00","ja","180179","93000.910",,"0","im_job","01/24/2022 20:13:20","im_job","01/24/2023 20:14:17"
"1000","200116","04/01/2023 00:00:00","03/31/2024 00:00:00","ja","180179","108422.380",,"0","im_job","01/24/2023 20:14:17","im_job","01/26/2024 19:34:13"
"1000","200116","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","180179","116166.120",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200116","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","180179","122333.700",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200116","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","180179","122334.700",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200123","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","1347.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200123","11/01/2017 00:00:00","03/31/2024 00:00:00","ja","","1347.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/26/2024 19:34:13"
"1000","200123","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","1380.000",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200123","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","1379.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200123","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","1380.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200130","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","2239.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200130","11/01/2017 00:00:00","03/31/2024 00:00:00","ja","","2239.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/26/2024 19:34:13"
"1000","200130","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","2272.000",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200130","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","2271.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200130","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","2272.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200147","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","4550.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200147","11/01/2017 00:00:00","03/31/2024 00:00:00","ja","","4550.000","","0","iko90001","11/08/2017 00:00:00","im_job","01/26/2024 19:34:13"
"1000","200147","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","4583.000",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200147","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","4582.000",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200147","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","4583.000",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200154","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","180180","330969.610","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200154","11/01/2017 00:00:00","03/31/2018 00:00:00","ja","180180","330969.610","","0","iko90001","11/08/2017 00:00:00","im_job","03/19/2018 20:10:03"
"1000","200154","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","180180","322442.910",,"0","im_job","03/19/2018 20:10:03","im_job","01/23/2019 21:29:29"
"1000","200154","04/01/2019 00:00:00","03/31/2020 00:00:00","ja","180180","322442.910",,"0","im_job","01/23/2019 21:29:29","im_job","01/22/2020 20:10:02"
"1000","200154","04/01/2020 00:00:00","03/31/2021 00:00:00","ja","180180","316811.420",,"0","im_job","01/22/2020 20:10:02","im_job","01/21/2021 20:37:17"
"1000","200154","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","180180","315390.240",,"0","im_job","01/21/2021 20:37:17","im_job","01/24/2022 20:13:20"
"1000","200154","04/01/2022 00:00:00","03/31/2023 00:00:00","ja","180180","331023.260",,"0","im_job","01/24/2022 20:13:20","im_job","01/24/2023 20:14:17"
"1000","200154","04/01/2023 00:00:00","03/31/2024 00:00:00","ja","180180","387870.610",,"0","im_job","01/24/2023 20:14:17","im_job","01/26/2024 19:34:13"
"1000","200154","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","180180","416327.280",,"0","im_job","01/26/2024 19:34:13","im_job","01/24/2025 20:09:07"
"1000","200154","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","180180","439065.220",,"0","im_job","01/24/2025 20:09:07","im_job","01/26/2026 20:13:20"
"1000","200154","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","180180","439066.220",,"0","im_job","01/26/2026 20:13:20","im_job","04/01/2026 20:02:08"
"1000","200161","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","457.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200161","11/01/2017 00:00:00","12/31/2999 00:00:00","ja","","457.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200178","10/01/2017 00:00:00","10/31/2017 00:00:00","ja","","2254.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
"1000","200178","11/01/2017 00:00:00","12/31/2999 00:00:00","ja","","2254.000","","0","iko90001","11/08/2017 00:00:00","iko90001","11/08/2017 00:00:00"
