"corporation_cd","region_cd","start_date","end_date","locale_id","region_cd_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0118","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品１８","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0119","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品１９","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0119","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品１９","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0120","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２０","","0","ecl07857","12/12/2017 00:00:00","ecl07857","12/12/2017 00:00:00"
"1000","0121","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２１","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0121","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２１","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0122","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２２","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0122","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２２","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0123","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２３","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0123","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２３","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0124","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２４","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0124","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２４","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0125","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２５","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0125","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２５","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0126","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２６","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0126","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２６","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0127","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２７","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0127","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２７","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0128","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２８","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0128","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２８","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0129","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品２９","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0129","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品２９","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0130","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３０","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0130","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３０","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0131","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３１","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0131","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３１","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0132","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３２","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0132","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３２","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0133","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３３","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0133","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３３","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0134","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３４","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0134","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３４","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0135","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３５","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0135","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３５","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0136","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３６","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0136","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３６","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0137","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３７","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0137","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３７","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0138","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３８","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0138","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３８","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0139","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品３９","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0139","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品３９","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0140","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４０","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
