"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","IryokenMaintenace_DT","Koji_DT","Seishin_KijunByosho","Seishin_KizonByosho","Seishin_Kizon_DT","Seishin_Kafusokusu","Kekkaku_KijunByosho","Kekkaku_KizonByosho","Kekkaku_Kizon_DT","Kekkaku_Kafusokusu","Kansen_KijunByosho","Kansen_KizonByosho","Kansen_Kizon_DT","Kansen_Kafusokusu"
"02/18/2013 00:00:00","05/25/2016 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","05/26/2016 00:00:00","PVS_XP_2060","121","12","A","20130215","20130218","20130101","20110426","12949","12911","20100401","-38","114","218","20100401","104","59","58","20100401","-1"
"02/18/2013 00:00:00","09/28/2015 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","09/29/2015 00:00:00","PVS_XP_2060","121","34","A","20130215","20130218","20111101","20110324","8158","9263","20090131","1105","116","155","20090131","39","36","24","20090131","-12"
"04/24/2013 00:00:00","12/25/2013 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","12/26/2013 00:00:00","PVS_XP_2060","121","03","B","20130422","20130423","20130501","20130329","4420","4454","20120930","34","30","137","20120930","107","40","40","20120930","0"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","36","A","20130215","20130218","20080601","20080422","3032","4071","20070331","1039","47","103","20070331","56","21","14","20070331","-7"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","01","B","20130422","20130423","20130501","20130329","18967","19615","20130201","648","143","205","20130201","62","98","94","20130201","-4"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","06","B","20130422","20130423","20130501","20130329","3373","3817","20130101","444","34","30","20130101","-4","20","18","20130101","-2"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","07","B","20130422","20130423","20130501","20130405","6478","7236","20120331","758","60","134","20120331","74","36","36","20130331","0"
"02/18/2013 00:00:00","05/25/2016 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","05/26/2016 00:00:00","PVS_XP_2060","121","33","A","20130215","20130218","20110501","20110329","5356","5795","20110301","439","76","244","20110301","168","26","26","20110301","0"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","37","A","20130215","20130218","20080501","20080328","3501","3831","20071231","330","99","135","20071231","36","28","18","20071231","-10"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","38","A","20130215","20130218","20081101","20080401","4398","5211","20080131","813","68","153","20080131","85","28","26","20080131","-2"
