"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"32","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1412","565","0"
"33","04/10/2017 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/28/2017 15:55:01","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1413","565","0"
"34","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1419","565","0"
"35","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"36","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1421","566","0"
"37","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1422","566","0"
"38","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1429","566","0"
"39","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"40","10/20/2016 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","10/20/2016 14:45:14","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1600","622","0"
"41","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1609","622","0"
"42","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg39895","09/25/2017 14:31:54","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"43","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1801","618","0"
"44","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1802","618","0"
