"corporation_cd","policy_div","start_date","end_date","locale_id","policy_div_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0100","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","戦略品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0100","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","戦略品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0102","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","重点品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0102","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","重点品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0104","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","中堅品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0104","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","安定品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0106","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","通販品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0107","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","海外品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0107","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","海外品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0108","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧輸出","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0108","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧輸出","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0109","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0109","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧値引品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0200","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","戦略新創品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0200","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","戦略新創品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0200","04/01/2019 00:00:00","03/31/2020 00:00:00","ja","重点戦略品","","0","ecl07857","12/03/2018 00:00:00","ecl05958","12/03/2019 00:00:00"
"1000","0200","04/01/2020 00:00:00","03/31/2024 00:00:00","ja","戦略品","","0","ecl05958","12/03/2019 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0201","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","新創品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0201","04/01/2018 00:00:00","03/31/2020 00:00:00","ja","新創品","","0","ecl07857","12/01/2017 00:00:00","ecl05958","12/03/2019 00:00:00"
"1000","0201","04/01/2020 00:00:00","03/31/2024 00:00:00","ja","提携品","","0","ecl05958","12/03/2019 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0202","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","戦略基盤品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0202","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","戦略基盤品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0202","04/01/2019 00:00:00","03/31/2024 00:00:00","ja","基盤品","","0","ecl07857","12/03/2018 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0202","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","重点戦略品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0203","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","基盤品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0203","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","基盤品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0203","04/01/2019 00:00:00","03/31/2024 00:00:00","ja","安定品","","0","ecl07857","12/03/2018 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0204","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","安定品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0204","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","安定品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0204","04/01/2019 00:00:00","03/31/2020 00:00:00","ja","ＯＮＣ新創品","","0","ecl07857","12/03/2018 00:00:00","ecl05958","12/03/2019 00:00:00"
"1000","0204","04/01/2020 00:00:00","03/31/2021 00:00:00","ja","ＯＮＣ品","","0","ecl05958","12/03/2019 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0204","04/01/2021 00:00:00","03/31/2024 00:00:00","ja","ＯＮＣ戦略品","","0","ecl91526","12/03/2020 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0204","04/01/2024 00:00:00","03/31/2026 00:00:00","ja","戦略品","","0","ecl97916","01/31/2024 00:00:00","ecl11619","10/14/2025 00:00:00"
"1000","0204","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","戦略基盤品","","0","ecl11619","10/14/2025 00:00:00","ecl11619","10/14/2025 00:00:00"
"1000","0205","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","ＥＡ品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0205","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","ＯＮＣ新創品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
