"cdgroup_cd","locale_id","cdgroup_name","notes","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"MDM-000-11000037","ja","原価算出対象","原価算出対象 を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000038","ja","在庫評価方法区分","在庫評価方法区分 を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000039","ja","低価法方式区分","低価法方式区分 を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000040","ja","単位","単位 を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000041","ja","取引先種別","取引先種別 を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000042","ja","初期値区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000043","ja","販売購買区分","販売用単価か、購買用単価かを決定する区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000044","ja","価格区分","価格の用途を決定する区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000045","ja","スケール区分","スケールの使用有無を決定する区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000046","ja","預金種別","取引先銀行口座の預金種別を指定する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000047","ja","回収口座区分","回収で使用する口座か否かを指定する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000048","ja","支払口座区分","支払で使用する口座か否かを指定する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000049","ja","代表口座指定区分","代表口座を指定する区分。1期間コード内で1件のみの制約あり。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000050","ja","個人フラグ","個人・法人を識別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000051","ja","販売部門","販売部門コードを判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000052","ja","販売チャネル","販売チャネルコードを判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000053","ja","用途区分","用途区分を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000054","ja","会計組織機能区分","会計組織機能区分を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000055","ja","会計組織セグメント","会計組織セグメントを判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000056","ja","画面名","画面名を管理する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
