"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","TankiTaizai_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT"
"03/04/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/03/2015 18:25:17","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3607089","","B","215","2","20150302","20150303"
"03/04/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/03/2015 18:25:17","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608709","","B","202","1","20150302","20150303"
"03/04/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/03/2015 18:25:17","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608852","","B","104","1","20150302","20150303"
"03/04/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/03/2015 18:25:17","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608852","","B","203","1","20150302","20150303"
"02/18/2013 00:00:00","03/03/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608709","","A","202","2","20130215","20130218"
"02/18/2013 00:00:00","03/03/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608852","","A","104","2","20130215","20130218"
"02/18/2013 00:00:00","03/03/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3608852","","A","203","2","20130215","20130218"
"02/18/2013 00:00:00","03/03/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3610728","","A","101","2","20130215","20130218"
"02/05/2014 00:00:00","03/03/2015 00:00:00","False","Batch","02/04/2014 18:23:49","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3607089","","B","210","1","20140203","20140204"
"02/05/2014 00:00:00","03/03/2015 00:00:00","False","Batch","02/04/2014 18:23:49","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3607089","","B","208","1","20140203","20140204"
"03/04/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/03/2015 18:25:17","BATCH","03/04/2015 00:00:00","PVS_XP_2056","135","00","3610728","","B","101","1","20150302","20150303"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3603318","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3603318","","A","202","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3603738","","A","207","2","20130215","20130218"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","B","201","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","B","202","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","B","211","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","B","110","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","B","101","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610150","","B","101","2","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3608740","","B","210","2","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3608740","","B","208","2","20150303","20150304"
"03/26/2018 00:00:00","12/31/9999 00:00:00","False","Batch","03/23/2018 20:02:34","BATCH","03/26/2018 00:00:00","PVS_XP_2056","135","00","6200853","","B","111","2","20180322","20180323"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3608600","","B","106","1","20150303","20150304"
"03/05/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/04/2015 18:35:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3608476","","B","210","2","20150303","20150304"
"05/23/2014 00:00:00","03/01/2016 00:00:00","False","Batch","05/22/2014 18:17:34","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3605836","","B","103","2","20140521","20140522"
"05/23/2014 00:00:00","03/01/2016 00:00:00","False","Batch","05/22/2014 18:17:34","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3605836","","B","202","2","20140521","20140522"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603318","","A","207","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","102","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","105","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","106","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","03/01/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/02/2016 00:00:00","PVS_XP_2056","135","00","3603738","","A","111","2","20130215","20130218"
"03/26/2018 00:00:00","12/31/9999 00:00:00","False","Batch","03/23/2018 20:02:34","BATCH","03/26/2018 00:00:00","PVS_XP_2056","135","00","7200080","","B","109","1","20180322","20180323"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3608600","","A","106","2","20130215","20130218"
