"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","ShisetsuKBN_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","01","A","20130215","20130218","病院（大学ＨＰ以外）"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","02","A","20130215","20130218","大学附属病院"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","03","A","20130215","20130218","大学附属病院分院"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","04","A","20130215","20130218","歯科病院（歯学部附属病院）"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","05","A","20130215","20130218","高次救急医療機関"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","06","A","20130215","20130218","国立療養所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","07","A","20130215","20130218","社会福祉施設附属病院"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","08","A","20130215","20130218","大学病院の一部署"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","10","A","20130215","20130218","一般診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","11","A","20130215","20130218","企業・大学内診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","12","A","20130215","20130218","公的機関医務室"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","13","A","20130215","20130218","障害者施設診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","14","A","20130215","20130218","コンタクト処方眼科"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","15","A","20130215","20130218","休日夜間急患センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","16","A","20130215","20130218","血液センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","17","A","20130215","20130218","透析センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","18","A","20130215","20130218","薬理診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","19","A","20130215","20130218","特別養護老人ホーム等医務室"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","20","A","20130215","20130218","保健所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","21","A","20130215","20130218","市町村保健センター・母子保健センター及び類似施設"
