"DairitenTK_CD","Corp_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","RyutsuSoshiki_CD","RyutsuBuin_CD","SalsTokei_KBN","Hosho_FLG","DairitenTokeiShitei_FLG"
"01888","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","01","","","0",""
"01888","ECL","04/01/2013 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","48","","","0",""
"01889","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","01","","","0",""
"01889","ECL","04/01/2013 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","48","","","0",""
"02001","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","07","05245","3","1","3"
"02001","ECL","04/01/2013 00:00:00","04/30/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","49","05245","3","1","3"
"02001","ECL","05/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","49","","3","1","3"
"02001","ECL","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","48","","3","1","3"
"02003","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","07","05245","1","1","3"
"02003","ECL","04/01/2013 00:00:00","04/30/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","49","05245","1","1","3"
"02003","ECL","05/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","49","","1","1","3"
"02003","ECL","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","48","","1","1","3"
"02004","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","07","05245","1","1","3"
"02004","ECL","04/01/2013 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","49","05245","1","1","3"
"02004","ECL","04/01/2016 00:00:00","10/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","05245","1","1","3"
"02004","ECL","11/01/2016 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","07086","1","1","3"
"02017","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","07","05245","1","1","3"
