"Jujisha_CD","Item_KBN","Zokusei_KJ","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HubSakuseisha_ID","HubSakusei_DT","HubKoshinsha_ID","HubKoshin_DT","HubKoshinProgram_ID"
"01126610","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01126637","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01126837","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01126938","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01127304","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01127406","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01127463","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01127556","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01127744","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01127946","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128143","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128232","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128260","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128456","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128500","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128712","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01128968","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129175","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129220","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129240","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129765","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129808","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01129860","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01130037","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01130104","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01130134","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01130254","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01130752","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01130760","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01130834","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01131185","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01131362","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01131500","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01131625","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01131631","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01131726","043","1","False","07534","04/13/2023 00:00:00","07534","04/13/2023 00:00:00","PVZ_EX_0001_S01",,,"BATCH","04/13/2023 23:33:38","BATCH","04/13/2023 23:33:38","PVZ_XP_8002"
