"KozaDairiten_CD","OroshiNonyusaki_CD","Shishoka_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairiten_CD","TofuRiyu_KBN"
"01001","0061825","311","06/17/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/17/2015 00:00:00","PVS_EX_0012","itg36186","06/17/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0107702","511","05/13/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","05/13/2016 00:00:00","PVS_EX_0012","itg35724","05/13/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0113931","311","08/25/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","08/25/2016 00:00:00","PVS_EX_0012","itg35724","08/25/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0120707","142","12/06/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","12/06/2016 00:00:00","PVS_EX_0012","itg35724","12/06/2016 00:00:00","PVS_EX_0012","23009","9"
"01001","0129460","511","04/11/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","04/11/2017 00:00:00","PVS_EX_0012","itg35724","04/11/2017 00:00:00","PVS_EX_0012","23009","1"
"01001","0132799","123","07/24/2015 00:00:00","12/31/9999 00:00:00","0","itg35724","07/24/2015 00:00:00","PVS_EX_0012","itg35724","07/24/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0133469","123","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0136603","211","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0138304","211","10/22/2015 00:00:00","12/31/9999 00:00:00","0","itg37109","10/22/2015 00:00:00","PVS_EX_0012","itg37109","10/22/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0146161","311","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0146374","311","06/18/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/18/2015 00:00:00","PVS_EX_0012","itg36186","06/18/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0148474","311","02/05/2016 00:00:00","12/31/9999 00:00:00","0","itg37109","02/05/2016 00:00:00","PVS_EX_0012","itg37109","02/05/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0150657","311","07/04/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","07/04/2016 00:00:00","PVS_EX_0012","itg35724","07/04/2016 00:00:00","PVS_EX_0012","23009","9"
"01001","0150665","311","07/19/2016 00:00:00","12/31/9999 00:00:00","0","itg36186","07/19/2016 00:00:00","PVS_EX_0012","itg36186","07/19/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0150673","311","05/14/2018 00:00:00","12/31/9999 00:00:00","0","itg35724","05/14/2018 00:00:00","PVS_EX_0012","itg35724","05/14/2018 00:00:00","PVS_EX_0012","23009","1"
"01001","0150681","311","06/13/2016 00:00:00","12/31/9999 00:00:00","0","itg36186","06/13/2016 00:00:00","PVS_EX_0012","itg36186","06/13/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0151297","311","05/16/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","05/16/2017 00:00:00","PVS_EX_0012","itg35724","05/16/2017 00:00:00","PVS_EX_0012","23009","1"
"01001","0151459","311","01/15/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","01/15/2016 00:00:00","PVS_EX_0012","itg35724","01/15/2016 00:00:00","PVS_EX_0012","23009","1"
"01001","0151530","311","05/16/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","05/16/2017 00:00:00","PVS_EX_0012","itg35724","05/16/2017 00:00:00","PVS_EX_0012","23009","1"
"01001","0152730","311","02/09/2018 00:00:00","12/31/9999 00:00:00","0","itg35724","02/09/2018 00:00:00","PVS_EX_0012","itg35724","02/09/2018 00:00:00","PVS_EX_0012","23009","1"
"01001","0154407","321","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0188409","099","09/05/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","09/05/2017 00:00:00","PVS_EX_0012","itg35724","09/05/2017 00:00:00","PVS_EX_0012","23009","9"
"01001","0188832","099","01/21/2019 00:00:00","12/31/9999 00:00:00","0","itg35724","01/21/2019 00:00:00","PVS_EX_0012","itg35724","01/21/2019 00:00:00","PVS_EX_0012","23009","9"
"01001","0217735","521","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0218324","531","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0218391","511","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0218405","511","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0235318","311","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0241263","531","06/20/2022 00:00:00","12/31/9999 00:00:00","0","itg42390","06/20/2022 00:00:00","PVS_EX_0012","itg42390","06/20/2022 00:00:00","PVS_EX_0012","23009","1"
"01001","0249670","311","06/22/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/22/2015 00:00:00","PVS_EX_0012","itg36186","06/22/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0256714","123","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0275824","142","02/17/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","02/17/2016 00:00:00","PVS_EX_0012","itg35724","02/17/2016 00:00:00","PVS_EX_0012","23009","9"
"01001","0288535","511","03/23/2017 00:00:00","12/31/9999 00:00:00","0","itg36186","03/23/2017 00:00:00","PVS_EX_0012","itg36186","03/23/2017 00:00:00","PVS_EX_0012","23009","1"
"01001","0294942","531","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","23009","1"
"01001","0300109","311","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg42390","04/16/2025 00:00:00","PVS_EX_0012","itg42390","04/16/2025 00:00:00","PVS_EX_0012","23009","1"
"01001","8520356","160","05/12/2023 00:00:00","12/31/9999 00:00:00","0","itg42390","05/12/2023 00:00:00","PVS_EX_0012","itg42390","05/12/2023 00:00:00","PVS_EX_0012","23009","5"
"01003","05601536","066","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"01003","05601548","066","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"01003","05602843","066","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"01003","05603953","066","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"01003","05619407","066","02/25/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","02/25/2016 00:00:00","PVS_EX_0012","itg35724","02/25/2016 00:00:00","PVS_EX_0012","13013","9"
"01003","05619419","066","02/18/2016 00:00:00","12/31/9999 00:00:00","0","itg37109","02/18/2016 00:00:00","PVS_EX_0012","itg37109","02/18/2016 00:00:00","PVS_EX_0012","13013","5"
"01003","05619422","066","02/18/2016 00:00:00","12/31/9999 00:00:00","0","itg37109","02/18/2016 00:00:00","PVS_EX_0012","itg37109","02/18/2016 00:00:00","PVS_EX_0012","13013","5"
"01003","05619461","066","02/18/2016 00:00:00","12/31/9999 00:00:00","0","itg37109","02/18/2016 00:00:00","PVS_EX_0012","itg37109","02/18/2016 00:00:00","PVS_EX_0012","13013","5"
"01003","05702719","031","09/28/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","09/28/2015 00:00:00","PVS_EX_0012","itg36186","09/28/2015 00:00:00","PVS_EX_0012","13013","9"
