"KakuCorp_ID","KakuTantosha_CD","Tantosha_KBN","Corp_ID","Tantosha_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Tanto_SEQ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"ECL","71005","PVS_T0008","ECL","08788","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71006","PVS_T0008","ECL","07504","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71006","PVS_T0008","ECL","09993","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71023","PVS_T0008","ECL","07062","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71023","PVS_T0008","ECL","07653","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71023","PVS_T0008","ECL","09332","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71030","PVS_T0008","ECL","08101","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71030","PVS_T0008","ECL","08778","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71045","PVS_T0008","ECL","07994","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71045","PVS_T0008","ECL","08651","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
