"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho_KJ","JISKen_CD"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","62","A","20121127","20121203","島根県","32"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","63","A","20121127","20121203","岡山県","33"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","64","A","20121127","20121203","広島県","34"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","65","A","20121127","20121203","山口県","35"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","71","A","20121127","20121203","徳島県","36"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","72","A","20121127","20121203","香川県","37"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","73","A","20121127","20121203","愛媛県","38"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","74","A","20121127","20121203","高知県","39"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","81","A","20121127","20121203","福岡県","40"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","82","A","20121127","20121203","佐賀県","41"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","83","A","20121127","20121203","長崎県","42"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","84","A","20121127","20121203","熊本県","43"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","85","A","20121127","20121203","大分県","44"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","86","A","20121127","20121203","宮崎県","45"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","87","A","20121127","20121203","鹿児島県","46"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","88","A","20121127","20121203","沖縄県","47"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:59","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","99","A","20121127","20121203","","99"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","11","A","20130215","20130218","北海道","01"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","21","A","20130215","20130218","青森県","02"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","22","A","20130215","20130218","岩手県","03"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","23","A","20130215","20130218","宮城県","04"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","24","A","20130215","20130218","秋田県","05"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","25","A","20130215","20130218","山形県","06"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","26","A","20130215","20130218","福島県","07"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","31","A","20130215","20130218","茨城県","08"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","32","A","20130215","20130218","栃木県","09"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","33","A","20130215","20130218","群馬県","10"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","34","A","20130215","20130218","埼玉県","11"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","35","A","20130215","20130218","千葉県","12"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","36","A","20130215","20130218","東京都","13"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","37","A","20130215","20130218","神奈川県","14"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","41","A","20130215","20130218","新潟県","15"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","42","A","20130215","20130218","富山県","16"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","43","A","20130215","20130218","石川県","17"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","44","A","20130215","20130218","福井県","18"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","45","A","20130215","20130218","山梨県","19"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","46","A","20130215","20130218","長野県","20"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","47","A","20130215","20130218","岐阜県","21"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","48","A","20130215","20130218","静岡県","22"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","49","A","20130215","20130218","愛知県","23"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","51","A","20130215","20130218","三重県","24"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","52","A","20130215","20130218","滋賀県","25"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","53","A","20130215","20130218","京都府","26"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","54","A","20130215","20130218","大阪府","27"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","55","A","20130215","20130218","兵庫県","28"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","56","A","20130215","20130218","奈良県","29"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","57","A","20130215","20130218","和歌山県","30"
